,Smiles,pIC50
641,CNc1nc(Nc2cc(F)c(S(C)(=O)=O)cc2OC)ncc1C(F)(F)F,7.57
648,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Br,7.89
658,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,6.38
662,CS(=O)(=O)c1ccc(-c2ccc3c(Nc4ccccc4)c(C(N)=O)cnc3c2)cc1,6.11
663,FC1(F)CCN(c2cc(-c3n[nH]c4ccc(-c5ccoc5)cc34)ncn2)CC1,7.06
664,COc1cnc(-c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)cn1,6.57
665,C1=C(c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)CCNC1,7.14
666,Clc1cc(-c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)ccn1,6.57
667,CC(C)Cc1ccc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2c1,7.25
668,COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CCC5(CCCO5)CC4)ncn3)c2c1,8.7
669,COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CCC5(CCNC5=O)CC4)ncn3)c2c1,8.55
670,Cn1cc(-c2cc3c(-c4cc(N5CCC(n6cccn6)C5)ncn4)n[nH]c3cc2F)cn1,7.13
671,Cc1nc2c(o1)CCN(c1cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn1)C2,8.55
674,O=C(Nc1cnccn1)c1cc(Br)ccc1OCc1ccccc1,5.7
675,Cc1cccc(NC(=O)c2cc(Br)ccc2OCc2ccccc2)c1,7.2
706,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(n5cccn5)CC4)ncn3)c2c1,7.82
707,Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCn6ncnc6C5)ncn4)c3c2)cn1,8.07
708,Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCOC(C)(C)C5)ncn4)c3c2)cn1,8.05
709,Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCC(F)(C#N)CC5)ncn4)c3c2)cn1,8.52
710,CC(C)Oc1cc2c(-c3cc(N4CCN(C5CCS(=O)(=O)C5)CC4)ncn3)n[nH]c2cc1F,8.6
711,CC(C)Oc1cc2c(-c3cc(N4CC[S+]([O-])CC4)ncn3)n[nH]c2cc1F,8.21
727,O=C(Nc1cccnc1)c1cc(Br)ccc1OCc1ccc(F)c(F)c1,7.7
729,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C#N)cc43)cc2C1,8.15
732,Cc1nc([C@H]2CN(c3ncnc4[nH]cc(-c5cccc(C#N)c5)c34)CCO2)no1,6.69
734,COc1cc(-c2cnc3[nH]cc(-c4ccc(N)nc4)c3c2)cc(OC)c1OC,8.3
735,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,8.52
736,CNC(=O)C(C)(C)n1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(C)n1,7.44
737,CNc1nc(Nc2cnn3c2COC(C)(C)C3)ncc1C(F)(F)F,7.7
739,c1ccc2c(-c3cc(N4CCOCC4)ncn3)[nH]nc2c1,6.87
740,c1ccc2c(-c3cncc(N4CCOCC4)c3)n[nH]c2c1,6.59
741,c1ccc2c(-c3ccncc3)n[nH]c2c1,6.04
742,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(-c5ccn[nH]5)cc34)ncn2)C[C@H](C)O1,8.84
743,Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCCC(C)(O)C5)ncn4)c3c2)cn1,8.1
744,Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCC(n6cccn6)C5)ncn4)c3c2)cn1,8.44
745,COCC(=O)N1CCN(c2cc(-c3n[nH]c4cc(F)c(OC(C)C)cc34)ncn2)CC1,8.25
751,c1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)cc(N2CCOCC2)n1,6.87
753,O=C1C(=NN(c2ccccc2)c2ccccc2)c2ccccc2N1Cc1ccccc1,5.16
759,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Br)c(OC)n1,7.28
773,Cc1nc2c(o1)CCN(c1cc(-c3n[nH]c4cc(F)c(OC(C)C)cc34)ncn1)C2,8.19
774,CC(C)Oc1cc2c(-c3cc(N4CCC(F)(CO)CC4)ncn3)n[nH]c2cc1F,8.64
775,COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CC[C@@H](CF)C4)ncn3)c2c1,8.57
776,COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CCC(F)(F)C4)ncn3)c2c1,7.9
777,CC(C)Oc1cc2c(-c3cc(N4CCOC(C(F)(F)F)C4)ncn3)n[nH]c2cc1F,7.58
778,CC(C)Oc1cc2c(-c3cc(N4CCc5oncc5C4)ncn3)n[nH]c2cc1F,8.01
780,CNc1nc(Nc2cnn(C)c2Cl)ncc1C(F)(F)F,7.41
781,CNc1nc(Nc2cnn(C)c2C)ncc1C(F)(F)F,7.39
795,CNc1nc(Nc2cc(C)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,7.96
796,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1F,6.38
799,Cc1ccccc1Nc1nc2ccc(-c3cc(C)c(O)c(C)c3)cn2n1,8.0
803,Nc1ccc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cn1,7.34
810,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C(F)(F)F)cc43)cc2C1,7.51
813,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC(F)(F)C4)ncn3)c2c1,7.61
814,CC(C)Oc1cc2c(-c3cc(N4CC[C@H](N(C)C)C4)ncn3)n[nH]c2cc1F,8.15
815,COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CCOC(C(F)(F)F)C4)ncn3)c2c1,8.07
816,COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CCC5(CC4)CNC(=O)CO5)ncn3)c2c1,8.46
817,c1nc(-c2n[nH]c3ccc(-c4ccc5nncn5c4)cc23)cc(N2CCOCC2)n1,7.25
818,Cc1nocc1-c1ccc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2c1,7.23
819,O=C(NCCO)c1ccc(-c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)cc1,6.81
