zinc_id,smiles
ZINC000261192712,CCCCNc1ncc(C(=O)NC2CCNCC2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000084709285,COc1ccc(CNc2ncc3c(-c4ccccc4)nn(CC4CCC(N)CC4)c3n2)cc1
ZINC000084711122,NC1CCC(Cn2nc(-c3ccccc3)c3cnc(NCCCc4ccccc4)nc32)CC1
ZINC000261098806,CCCNc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000261156434,CCCCNc1ncc(-c2cc(CN3CCOCC3)ccn2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000084669644,CCCNc1ncc2c(-c3ccccc3)nn(CC3CCC(N)CC3)c2n1
ZINC000084710148,NC1CCC(Cn2nc(-c3ccccc3)c3cnc(NCCc4ccccc4)nc32)CC1
ZINC000261087646,CCCCNc1ncc(C(=O)NC2CCOCC2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000039716080,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1
ZINC000084653518,CCCCCNc1ncc2c(-c3ccccc3)nn(CC3CCC(N)CC3)c2n1
ZINC000261089298,CCCCNc1ncc(C(=O)NCc2ccc(F)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000261138200,CCCCNc1ncc(C(=O)Nc2ccc(N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000261139955,O[C@@H]1CC[C@@H](Nc2nc(NCCc3ccccc3)ncc2-c2ccccn2)CC1
ZINC000261177077,CCCCNc1ncc(C(=O)Nc2ccc(OC)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000261091003,CCCCNc1ncc(-c2ccccn2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000084709112,CNc1ncc2c(-c3ccc(N4CCNCC4)cc3)nn(CC3CCC(N)CC3)c2n1
ZINC000103242264,CCCCNc1ncc(-c2ccccn2)c(Nc2ccc(N)cc2)n1
ZINC000254094473,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1
ZINC000261183204,CCCCNc1ncc(-c2ccccn2)c(NC[C@@H]2CC[C@@H](N)CC2)n1
ZINC000261192737,CCCCNc1ncc(-c2cccc(CN3CCOCC3)n2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000261088740,CCCCCNc1ncc(-c2ccccn2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000261090647,CCCCNc1ncc(C(=O)Nc2ccc(F)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000034842284,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1
ZINC000261163465,CC(C)Nc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000084670412,CNc1ncc2c(-c3ccc(OC)cc3)nn(CC3CCC(N)CC3)c2n1
ZINC000261108245,CCCCCNc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000261075960,CCCCNc1ncc(C(=O)Nc2cccc(OC)c2)c(N[C@@H]2CC[C@@H](O)CC2)n1
ZINC000103242280,CCCCNc1ncc(-c2ccccn2)c(NC2CCNCC2)n1
ZINC000103257254,CCCCNc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(NCC2CCNCC2)n1
